url,redirect_url
http://dbpedia.org/resource/Age_of_Enlightenment,http://dbpedia.org/page/Age_of_Enlightenment
http://dbpedia.org/resource/Agen,http://dbpedia.org/page/Agen
http://dbpedia.org/resource/Agriculture,http://dbpedia.org/page/Agriculture
http://dbpedia.org/resource/Aharonov–Bohm_effect,http://dbpedia.org/page/Aharonov–Bohm_effect
http://dbpedia.org/resource/Ahmad_Khani,http://dbpedia.org/page/Ahmad_Khani
http://dbpedia.org/resource/Ahmad_Shamloo,http://dbpedia.org/page/Ahmad_Shamloo
http://dbpedia.org/resource/Ahmedabad,http://dbpedia.org/page/Ahmedabad
http://dbpedia.org/resource/Air_Force_Research_Laboratory,http://dbpedia.org/page/Air_Force_Research_Laboratory
http://dbpedia.org/resource/Aircraft_Nuclear_Propulsion,http://dbpedia.org/page/Aircraft_Nuclear_Propulsion
http://dbpedia.org/resource/Aix-Marseille_University,http://dbpedia.org/page/Aix-Marseille_University
http://dbpedia.org/resource/Ajoy_Ghatak,http://dbpedia.org/page/Ajoy_Ghatak
http://dbpedia.org/resource/Akademgorodok,http://dbpedia.org/page/Akademgorodok
http://dbpedia.org/resource/Akikazu_Hashimoto,http://dbpedia.org/page/Akikazu_Hashimoto
http://dbpedia.org/resource/Aksel_C._Wiin-Nielsen,http://dbpedia.org/page/Aksel_C._Wiin-Nielsen
http://dbpedia.org/resource/Akureyri,http://dbpedia.org/page/Akureyri
http://dbpedia.org/resource/Al_Amiri,http://dbpedia.org/page/Abu_al-Hassan_al-Amiri
"http://dbpedia.org/resource/Alamogordo,_New_Mexico","http://dbpedia.org/page/Alamogordo,_New_Mexico"
http://dbpedia.org/resource/Alan_Guth,http://dbpedia.org/page/Alan_Guth
http://dbpedia.org/resource/Alan_Lightman,http://dbpedia.org/page/Alan_Lightman
http://dbpedia.org/resource/Alan_Martin_(physicist),http://dbpedia.org/page/Alan_Martin_(physicist)
http://dbpedia.org/resource/Alan_Saul,http://dbpedia.org/page/Alan_Saul
http://dbpedia.org/resource/Alan_Sokal,http://dbpedia.org/page/Alan_Sokal
http://dbpedia.org/resource/Alasdair_MacIntyre,http://dbpedia.org/page/Alasdair_MacIntyre
http://dbpedia.org/resource/Albania,http://dbpedia.org/page/Albania
http://dbpedia.org/resource/Albanians,http://dbpedia.org/page/Albanians
"http://dbpedia.org/resource/Albany,_New_York","http://dbpedia.org/page/Albany,_New_York"
http://dbpedia.org/resource/Albert_A._Michelson,http://dbpedia.org/page/Albert_A._Michelson
http://dbpedia.org/resource/Albert_A._Michelson_Medal,http://dbpedia.org/page/Franklin_Institute
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/page/Albert_Einstein
http://dbpedia.org/resource/Albert_Einstein_Award,http://dbpedia.org/page/Albert_Einstein_Award
http://dbpedia.org/resource/Albert_Einstein_Medal,http://dbpedia.org/page/Albert_Einstein_Medal
http://dbpedia.org/resource/Albert_Einstein_Peace_Prize,http://dbpedia.org/page/Albert_Einstein_Peace_Prize
http://dbpedia.org/resource/Albert_Einstein_World_Award_of_Science,http://dbpedia.org/page/Albert_Einstein_World_Award_of_Science
http://dbpedia.org/resource/Albert_Ghiorso,http://dbpedia.org/page/Albert_Ghiorso
http://dbpedia.org/resource/Albert_Hibbs,http://dbpedia.org/page/Albert_Hibbs
http://dbpedia.org/resource/Albert_Lasker_Award_for_Basic_Medical_Research,http://dbpedia.org/page/Albert_Lasker_Award_for_Basic_Medical_Research
